"id","processed","name_wd","name_rdl","name_pae","units_wd_id","units_rdl_id","value_min_PAE","value_max_PAE","value_min_RDL","value_max_RDL","value_null","asociado_id","group_id","group_sensor_id","import","required_rdl","required_pae","create_date"
"1831","PROCESSED","CRT_RPM"," ","","8","8","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:23"
"1832","PROCESSED","CRT_Torque"," ","","9","9","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:23"
"1833","PROCESSED","CRT_Turns"," ","","48","48","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:23"
"1834","PROCESSED","Cumulative_Delta_Displacement"," ","","16","16","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:23"
"1835","PROCESSED","Cumulative_Fluid_Displacement"," ","","16","16","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:23"
"1836","PROCESSED","Cumulative_Pipe_Displacement"," ","","16","16","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:23"
"1837","PROCESSED","Cut_and_Slip"," ","","92","92","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:23"
"1838","PROCESSED","Cut_and_Slip_Ref"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:23"
"1839","PROCESSED","Daily_Accum_Wear"," ","","92","92","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:23"
"1840","PROCESSED","Daily_Line_Wear_Ref"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:23"
"1841","PROCESSED","Derrick_Cert_Ref"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:23"
"1842","PROCESSED","Derrick_Certified"," ","","92","92","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:23"
"1843","PROCESSED","DIR-Area_total_flujo_Trep"," ","","69","69","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:23"
"1844","PROCESSED","DIR-Azi_Svy_(Correg)"," ","","30","30","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:23"
"1845","PROCESSED","DIR-Azi_Svy_(No_correg)"," ","","30","30","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:23"
